AES-192-GCM,4668,4592,4656,4592,4655,4591,4655,4591,4656,4592,4656,4591,4655,4591,4656,4592,4656,4591,4655,4591,4655,4592,4656,4592,4655,4591,4655,4591,4656,4592,4656,4591,4655,4591,4656,4592,4656,4591,4655,4591,4655,4592,4656,4592,4655,4591,4655,4591,4656,4592,4661,4592,4656,4592,4655,4591,4661,4591,4655,4591,4655,4592,4656,4592,4655,4591,4655,4591,4656,4592,4656,4591,4655,4591,4661,4591,4655,4591,4656,4592,4655,4591,4656,4592,4655,4591,4656,4592,4655,4591,4656,4592,4655,4591,4656,4592,4655,4591,4656,4592,
AES-256-GCM,4703,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4687,4604,4692,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,4686,4603,
AES-128,9264,9174,9174,9174,9191,9174,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9175,9175,9175,9175,9186,9175,9192,9174,9175,9175,9175,9175,9175,9175,9174,9174,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9192,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9175,9175,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,9174,
AES-192,9225,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9224,9221,9221,9221,9221,9221,9221,9221,9221,9221,9221,9230,9221,9221,9221,
AES-256,9288,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9281,9280,9298,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9281,9285,9281,9281,9280,9281,9281,9280,9281,9280,9281,9281,9280,9281,9280,9281,9281,9280,9281,9280,
AES-128-CTR,9090,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8959,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8952,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,
AES-192-CTR,9061,8940,9060,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,9057,8941,9057,8940,9057,8940,9057,8940,9057,8940,
AES-256-CTR,9095,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,9087,8952,
AES-128-EAX,9090,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8959,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8952,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,
AES-192-EAX,9177,8944,9174,8960,9174,8944,9173,8944,9174,8960,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9191,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,9174,8943,9174,8944,9173,8961,9174,8943,9174,8944,9173,8944,9174,8943,9173,8944,
AES-256-EAX,9232,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9224,8956,9233,8955,9223,8955,9223,8955,9223,8955,9223,8955,9223,8955,9223,8955,9223,8955,9223,8955,9223,8972,9223,8955,9223,8955,
AES-128-GCM,9090,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8959,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8952,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8941,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,9040,8942,9039,8942,
AES-192-GCM,9061,8993,9057,8994,9058,8993,9057,8993,9074,8993,9057,8993,9057,8993,9057,8993,9058,8994,9058,8993,9057,8993,9057,8993,9057,8993,9058,8994,9058,8993,9057,8993,9057,8993,9057,8993,9058,8994,9058,9004,9057,8993,9057,8993,9057,8994,9058,8993,9075,8994,9058,8993,9057,8993,9057,8993,9074,8993,9057,8993,9057,8994,9058,8993,9057,8993,9057,8993,9057,8993,9057,8994,9058,8993,9057,8993,9057,8993,9057,8993,9057,9011,9057,8994,9058,8993,9057,8993,9057,8993,9057,8993,9057,8994,9058,8993,9057,8993,9057,8993,
AES-256-GCM,9095,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9022,9088,9005,9088,9005,9088,9005,9088,9005,9088,9022,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,9088,9005,9088,9005,9087,9005,9088,9005,9088,9004,
