SHA-256, 5, 6, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5
SHA-512, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
SHA3-256, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 16, 16, 17, 17, 16, 16, 16
SHA3-512, 29, 29, 29, 29, 30, 30, 29, 29, 29, 29, 29, 29, 30, 30, 29, 29, 29, 29, 29, 29, 30, 30, 29, 29, 29, 29, 29, 29, 30, 30, 29, 29, 29, 29, 29, 29, 30, 30, 29, 29, 29, 30, 30, 29, 29, 29, 29, 29, 30, 30, 30, 29, 29, 29, 29, 29, 30, 30, 30, 29, 29, 29, 29, 29, 30, 30, 30, 29, 29, 30, 30, 29, 29, 29, 29, 29, 29, 30, 30, 30, 29, 29, 29, 29, 29, 30, 30, 30, 29, 29, 29, 29, 29, 30, 30, 29, 29, 29, 30, 30
